#Format: frequency (Hz)  ratio (dB)  phase (deg)
      1687.4       -211.1       14.488
      1703.1      -211.09       15.468
      1718.8      -211.07       16.482
      1734.8      -211.07       17.528
      1750.8      -211.06        18.61
        1767      -211.05       19.726
      1783.4      -211.04        20.88
      1799.9      -211.04       22.072
      1816.6      -211.03       23.301
      1833.4      -211.02       24.571
      1850.4      -211.02       25.879
      1867.5      -211.01       27.228
      1884.8         -211       28.616
      1902.3      -210.99       30.045
      1919.9      -210.98       31.514
      1937.7      -210.97       33.022
      1955.7      -210.95       34.569
      1973.8      -210.93       36.153
        1992      -210.91       37.774
      2010.5      -210.89       39.429
      2029.1      -210.86       41.117
      2047.9      -210.82       42.836
      2066.9      -210.79       44.583
        2086      -210.74       46.356
      2105.3       -210.7       48.154
      2124.8      -210.64       49.971
      2144.5      -210.59       51.805
      2164.4      -210.53       53.654
      2184.4      -210.46       55.515
      2204.7      -210.39       57.384
      2225.1      -210.31      59.2587
      2245.7      -210.23      61.1369
      2266.5      -210.15       63.015
      2287.5      -210.06      64.8921
      2308.7      -209.96      66.7651
      2330.1      -209.87      68.6312
      2351.6      -209.77      70.4899
      2373.4      -209.67      72.3411
      2395.4      -209.56       74.182
      2417.6      -209.46       76.012
        2440      -209.35      77.8317
      2462.6      -209.24        79.64
      2485.4      -209.13      81.4368
      2508.4      -209.03      83.2238
      2531.7      -208.92           85
      2555.1      -208.81       86.767
      2578.8       -208.7       88.526
      2602.7       -208.6      90.2781
      2626.8      -208.49      92.0239
      2651.1      -208.39      93.7663
      2675.6      -208.29      95.5052
      2700.4      -208.19      97.2441
      2725.4       -208.1       98.983
      2750.7      -208.01       100.73
      2776.2      -207.92       102.47
      2801.9      -207.83       104.23
      2827.8      -207.75       105.99
        2854      -207.67       107.77
      2880.4       -207.6       109.56
      2907.1      -207.53       111.36
      2934.1      -207.46       113.19
      2961.2       -207.4       115.03
      2988.7      -207.34        116.9
      3016.3      -207.28        118.8
      3044.3      -207.23       120.72
      3072.5      -207.19       122.67
      3100.9      -207.14       124.66
